"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir464-2016-Pass2-Tron1-Chiro_0_00065_000"	0.1	0.3	40	"Yerray"	0.02	"Tetvir, Pippip, Leppun, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, Pipkuh, piaf, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.02	""	""	1	865	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00070_000"	0	0.5	158	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	870	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00075_000"	0	0.5	138	"noise"	0.95	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.95	""	""	1	875	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00080_000"	0	0.5	117	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	880	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00085_000"	0	0.5	145	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	885	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00090_000"	0	0.5	131	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	890	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00095_000"	0	0.5	159	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	895	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00095_000"	0.4	0.5	54	"Pippip"	0.09	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.09	""	""	1	895	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00100_000"	0	0.5	165	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	900	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00105_000"	0	0.5	154	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	905	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00110_000"	0	0.5	141	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	910	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00115_000"	0	0.5	196	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	915	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00120_000"	0	0.5	127	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	920	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00125_000"	0	0.5	180	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	925	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00130_000"	0	0.5	134	"noise"	0.91	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.91	""	""	1	930	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00135_000"	0	0.5	158	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	935	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00135_000"	0	0.1	42	"Tetvir"	0.02	"Pippip, Pipkuh, Phogri, Leppun, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.02	""	""	1	935	"Tetvir"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00140_000"	0	0.5	149	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	940	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00145_000"	0	0.5	187	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	945	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00150_000"	0	0.5	132	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	950	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00150_000"	0.1	0.5	44	"Pippip"	0.31	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.31	""	""	1	950	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00155_000"	0	0.5	135	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	955	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00160_000"	0	0.5	157	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	960	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00165_000"	0	0.5	117	"noise"	0.95	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.95	""	""	1	965	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00165_000"	0.1	0.2	45	"Phogri"	0.03	"Tetvir, Pippip"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.03	""	""	1	965	"Phogri"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00170_000"	0	0.5	157	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	970	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00175_000"	0	0.5	158	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	975	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00180_000"	0	0.5	145	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	980	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00185_000"	0	0.5	180	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	985	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00185_000"	0.1	0.2	43	"Pipkuh"	0.08	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.08	""	""	1	985	"Pipkuh"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00190_000"	0	0.5	156	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	990	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00190_000"	0.1	0.5	44	"Leppun"	0.03	"Tetvir, Pippip, Phogri"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.03	""	""	1	990	"Leppun"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00195_000"	0	0.5	159	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	995	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00200_000"	0	0.5	149	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1000	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00205_000"	0	0.5	144	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1005	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00205_000"	0	0.3	44	"Pippip"	0.13	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.13	""	""	1	1005	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00210_000"	0	0.5	159	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1010	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00215_000"	0	0.5	156	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1015	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00215_000"	0.1	0.2	44	"Pipkuh"	0.08	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.08	""	""	1	1015	"Pipkuh"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00220_000"	0	0.5	124	"noise"	0.94	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.94	""	""	1	1020	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00220_000"	0.1	0.3	43	"Yerray"	0.02	"Tetvir, Pippip, Pipkuh, Leppun, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, piaf, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.02	""	""	1	1020	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00225_000"	0	0.5	154	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	1025	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00225_000"	0	0.1	45	"Pippip"	0.25	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.25	""	""	1	1025	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00225_000"	0	0.4	45	"Yerray"	0.03	"Tetvir, Phogri, Leppun"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.03	""	""	1	1025	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00230_000"	0	0.5	128	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1030	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00230_000"	0.3	0.4	39	"Tetvir"	0.02	"Pippip, Leppun, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, Pipkuh, piaf, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.02	""	""	1	1030	"Tetvir"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00235_000"	0	0.5	152	"noise"	0.93	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.93	""	""	1	1035	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00235_000"	0.1	0.2	49	"Yerray"	0.76	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.76	""	""	1	1035	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00240_000"	0	0.5	126	"noise"	0.94	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.94	""	""	1	1040	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00240_000"	0.2	0.3	50	"Yerray"	0.1	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.1	""	""	1	1040	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00245_000"	0	0.5	170	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1045	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00250_000"	0	0.5	138	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1050	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00250_000"	0.2	0.3	45	"Leppun"	0.03	"Tetvir, Pippip, Pipkuh"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.03	""	""	1	1050	"Leppun"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00255_000"	0	0.5	160	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1055	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00255_000"	0.3	0.4	43	"Tetvir"	0.02	"Pippip, Pipkuh, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, piaf, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.02	""	""	1	1055	"Tetvir"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00260_000"	0	0.5	150	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1060	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00265_000"	0	0.5	205	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1065	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00270_000"	0	0.5	204	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	1070	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00270_000"	0	0.4	47	"Yerray"	0.05	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.05	""	""	1	1070	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00275_000"	0	0.5	202	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1075	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00275_000"	0.4	0.5	44	"Pipkuh"	0.06	"Pippip"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.06	""	""	1	1075	"Pipkuh"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00280_000"	0	0.5	206	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1080	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00285_000"	0	0.5	199	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1085	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00285_000"	0	0.1	47	"Yerray"	0.27	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.27	""	""	1	1085	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00290_000"	0	0.5	197	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1090	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00295_000"	0	0.5	199	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1095	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00295_000"	0.3	0.5	45	"Pippip"	0.08	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.08	""	""	1	1095	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00300_000"	0	0.5	207	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1100	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00305_000"	0	0.5	195	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1105	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00305_000"	0.3	0.5	57	"Pippip"	0.04	"Tetvir, Pipkuh, Myomys"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.04	""	""	1	1105	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00310_000"	0	0.5	200	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1110	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00310_000"	0.1	0.2	51	"Yerray"	0.51	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.51	""	""	1	1110	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00315_000"	0	0.5	196	"noise"	0.96	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.96	""	""	1	1115	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00315_000"	0.2	0.3	42	"Yerray"	0.12	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.12	""	""	1	1115	"Yerray"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00320_000"	0	0.5	201	"noise"	0.98	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.98	""	""	1	1120	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00320_000"	0	0.3	43	"Pipkuh"	0.05	"Pippip"	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.05	""	""	1	1120	"Pipkuh"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00325_000"	0	0.5	185	"noise"	0.97	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.97	""	""	1	1125	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00325_000"	0	0.4	45	"Pippip"	0.13	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.13	""	""	1	1125	"Pippip"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00330_000"	0	0.5	197	"noise"	0.95	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.95	""	""	1	1130	"noise"	0
"Cir464-2016-Pass2-Tron1-Chiro_0_00330_000"	0.1	0.4	44	"Yerray"	0.07	""	""	""	""	""	"5caba3c8efb48f0010e101d8"	0.07	""	""	1	1130	"Yerray"	0
